customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage,Pension,Savings
265,50,24,50,1,0,0,0,61,17790.0,6,27,36,1,0,1,1,6,31,9.199,0,0,0
281,34,5,34,1,0,0,0,54,17751.0,2,6,12,2,0,3,1,6,39,7.589,0,0,0
289,50,21,50,1,0,0,0,51,17774.0,3,21,24,3,4,4,3,5,43,10.327,0,0,0
290,45,18,45,0,0,0,0,51,17774.0,4,5,12,3,0,4,2,5,43,8.555,0,0,0
295,50,19,50,0,0,0,0,51,17774.0,3,5,12,3,1,3,2,5,43,8.461,0,0,0
301,46,20,46,1,0,0,0,51,17774.0,3,36,48,3,1,4,3,5,43,10.257,0,0,0
53200,40,15,40,0,0,0,0,54,51938.0,7,10,12,2,1,5,9,11,34,15.672,0,0,0
53214,43,13,43,1,0,0,0,59,51862.0,7,17,24,2,1,3,2,8,32,11.251,0,0,0
53226,43,12,43,1,0,0,0,50,51929.0,6,8,12,3,2,1,1,15,34,11.816,0,0,0
53226,43,12,43,1,0,0,0,50,51929.0,6,8,12,3,2,1,1,15,34,11.816,0,0,0
53233,43,13,43,0,0,0,0,52,51915.0,5,22,24,3,1,2,1,12,34,9.312,0,0,0
53237,44,14,44,1,0,0,0,39,51925.0,6,-6,0,5,0,0,0,20,39,0.0,1,1,1
53237,44,14,44,1,0,0,0,39,51925.0,6,-6,0,5,0,0,0,20,39,0.0,1,1,1
53251,47,17,47,0,0,0,0,47,51932.0,2,22,24,4,1,0,0,13,39,0.0,1,1,1
53267,33,6,33,1,0,0,0,48,51901.0,4,39,48,3,2,3,2,24,26,8.449,0,0,0
53283,38,9,38,1,0,0,0,36,51911.0,5,15,24,5,0,0,0,10,52,0.0,1,1,1
53300,38,6,38,1,0,0,0,59,51868.0,2,31,36,1,0,0,0,13,27,0.0,1,1,1
53300,38,6,38,1,0,0,0,59,51868.0,2,31,36,1,0,0,0,13,27,0.0,1,1,1
53301,47,14,47,1,0,0,0,44,51852.0,5,25,36,4,0,2,1,11,44,7.856,0,0,0
53302,50,23,50,0,0,0,0,53,51915.0,6,20,24,2,0,0,0,15,31,0.0,1,1,1
53305,34,2,34,0,0,0,0,50,51930.0,7,39,48,3,0,3,2,11,37,8.525,0,0,0
53311,37,4,37,0,0,0,0,56,51909.0,4,12,24,2,0,3,2,6,36,9.686,0,0,0
53331,52,23,52,0,0,0,0,62,51890.0,2,26,36,1,0,0,0,11,26,0.0,1,1,1
53334,51,15,51,0,0,0,0,74,51926.0,6,40,48,0,0,2,1,8,16,7.906000000000001,0,0,0
53342,52,23,52,1,0,0,0,30,51924.0,6,-3,0,6,2,0,0,9,59,0.0,1,1,1
53351,42,10,42,0,0,0,0,59,51934.0,3,33,36,1,2,0,0,8,31,0.0,1,1,1
53356,52,24,52,1,0,0,0,55,51923.0,5,25,36,2,1,3,2,5,39,9.65,0,0,0
53357,59,31,59,1,0,0,0,64,51914.0,4,31,36,1,4,3,3,7,28,12.189,0,0,0
53358,20,0,20,1,0,0,0,51,51929.0,4,34,36,3,0,0,0,14,34,0.0,1,1,1
53366,44,16,44,1,0,0,0,53,51863.0,3,27,36,2,3,2,1,11,34,7.422000000000001,0,0,0
53366,44,16,44,1,0,0,0,53,51863.0,3,27,36,2,3,2,1,11,34,7.422000000000001,0,0,0
53382,32,4,32,1,0,0,0,67,51894.0,3,35,36,0,0,0,0,8,24,0.0,1,1,1
53384,30,0,30,0,0,0,0,52,51934.0,7,37,48,3,1,4,1,11,35,13.219,0,0,0
53388,42,13,42,0,0,0,0,20,51912.0,7,36,48,8,0,3,2,13,65,11.967,0,0,0
53390,49,22,49,0,0,0,0,53,51886.0,4,33,36,3,0,3,1,10,35,11.84,0,0,0
53394,37,8,37,1,0,0,0,50,51919.0,2,37,48,3,0,0,0,18,30,0.0,1,1,1
53398,39,8,39,0,0,0,0,53,51949.0,3,17,24,2,0,0,0,4,41,0.0,1,1,1
53400,60,34,60,0,0,0,0,47,51933.0,2,13,24,4,0,0,0,23,29,0.0,1,1,1
53411,52,25,52,1,0,0,0,62,51879.0,3,36,48,1,0,0,0,7,29,0.0,1,1,1
53415,50,23,50,0,0,0,0,21,51902.0,1,11,24,8,2,0,0,27,50,0.0,1,1,1
53416,44,15,44,1,0,0,0,58,51889.0,2,22,24,2,0,6,3,9,32,12.049,0,0,0
53417,53,25,53,0,0,0,0,58,51889.0,1,33,36,2,2,0,0,9,32,0.0,1,1,1
53421,37,12,37,0,0,0,0,58,51923.0,7,11,24,1,0,3,2,14,26,13.451,0,0,0
53434,41,14,41,0,0,0,0,62,51929.0,4,-1,0,1,0,1,0,9,27,0.0,1,1,1
53435,27,0,27,1,0,0,0,62,51929.0,4,-6,0,1,0,0,0,9,27,0.0,1,1,1
53437,45,16,45,1,0,0,0,43,51888.0,6,7,12,4,0,3,2,9,46,8.415,0,0,0
53453,46,20,46,1,0,0,0,72,51891.0,6,17,24,0,0,2,1,11,15,8.766,0,0,0
53457,31,0,31,1,0,0,0,56,51871.0,5,31,36,2,0,0,0,9,34,0.0,1,1,1
53459,53,24,53,1,0,0,1,59,51946.0,1,30,36,1,1,0,17,10,29,23.955,0,0,0
53469,32,2,32,1,0,0,0,35,51862.0,5,41,48,5,1,3,2,14,49,10.122,0,0,0
53469,32,2,32,1,0,0,0,35,51862.0,5,41,48,5,1,3,2,14,49,10.122,0,0,0
53476,42,15,42,1,0,0,0,53,51941.0,4,29,36,2,3,4,1,11,34,8.166,0,0,0
53476,42,15,42,1,0,0,0,53,51941.0,4,29,36,2,3,4,1,11,34,8.166,0,0,0
53479,48,19,48,0,0,0,0,43,51869.0,6,18,24,4,0,0,0,6,49,0.0,1,1,1
53482,40,11,40,0,0,0,0,41,51851.0,4,5,12,5,1,0,0,11,46,0.0,1,1,1
53482,40,11,40,0,0,0,0,41,51851.0,4,5,12,5,1,0,0,11,46,0.0,1,1,1
53487,37,10,37,1,0,0,0,61,51912.0,4,41,48,1,5,2,2,11,27,8.356,0,0,0
53494,46,15,46,0,0,0,0,53,51915.0,5,-6,0,3,1,0,0,10,35,0.0,1,1,1
53505,39,12,39,1,0,0,0,45,51927.0,4,37,48,4,1,3,1,15,39,12.833,0,0,0
53516,32,0,32,0,0,0,0,47,51948.0,3,21,24,3,0,1,1,11,40,8.802,0,0,0
53523,41,12,41,0,0,0,0,77,51921.0,4,6,12,1,1,4,2,4,18,10.185,0,0,0
53524,41,14,41,0,0,0,0,77,51921.0,4,30,36,1,0,2,1,4,18,9.939,0,0,0
53528,44,16,44,0,0,0,0,57,51879.0,6,39,48,2,3,0,0,4,37,0.0,1,1,1
53528,44,16,44,0,0,0,0,57,51879.0,6,39,48,2,3,0,0,4,37,0.0,1,1,1
53529,37,10,37,1,0,0,0,59,51861.0,2,7,12,2,1,0,0,10,29,0.0,1,1,1
53536,52,18,52,0,0,0,0,54,51866.0,3,19,24,2,0,6,3,9,36,12.04,0,0,0
53540,44,18,44,1,0,0,0,63,51919.0,6,14,24,1,0,2,1,11,25,7.872000000000001,0,0,0
53544,49,20,49,1,0,0,0,58,51923.0,6,29,36,2,1,0,0,13,27,0.0,1,1,1
53549,29,1,29,0,0,0,0,48,51919.0,4,-2,0,3,4,0,0,9,41,0.0,1,1,1
53552,20,0,20,1,0,0,0,58,51855.0,5,35,48,1,1,0,0,10,30,0.0,1,1,1
53556,29,0,29,1,0,0,0,59,51882.0,5,7,12,1,0,4,2,9,31,10.333,0,0,0
53558,33,6,33,0,0,0,0,45,51872.0,3,28,36,4,0,2,1,13,41,8.419,0,0,0
53564,41,10,41,1,0,0,0,30,51955.0,4,11,12,6,0,0,0,12,57,0.0,1,1,1
53570,50,20,50,1,0,0,0,49,52005.0,1,22,24,3,0,1,23,17,33,30.145,0,0,0
53570,50,20,50,1,0,0,0,49,52005.0,1,22,24,3,0,1,23,17,33,30.145,0,0,0
53573,34,7,34,1,0,0,0,60,51984.0,6,-2,0,1,2,2,0,7,31,0.0,1,1,1
53589,34,1,34,0,0,0,0,48,51999.0,6,23,36,3,0,2,1,12,38,8.116,0,0,0
53590,28,0,28,0,0,0,0,60,52018.0,4,13,24,1,1,0,0,11,28,0.0,1,1,1
53598,40,14,40,1,0,0,0,51,51991.0,2,29,36,3,1,3,2,13,34,9.765,0,0,0
53600,44,14,44,1,0,0,0,47,52013.0,3,16,24,3,0,0,0,12,40,0.0,1,1,1
53600,44,14,44,1,0,0,0,47,52013.0,3,16,24,3,0,0,0,12,40,0.0,1,1,1
53601,16,0,16,0,0,0,0,52,51974.0,3,-1,0,3,0,0,0,11,36,0.0,1,1,1
53612,59,27,59,0,0,1,0,41,52030.0,2,24,36,4,1,0,0,10,47,0.0,1,1,1
53614,37,6,37,1,0,0,0,68,51976.0,3,39,48,0,0,1,1,7,24,8.546,0,0,0
53621,27,0,27,1,0,0,0,50,51984.0,6,40,48,3,1,0,0,7,42,0.0,1,1,1
53633,29,1,29,1,0,0,0,23,52032.0,4,-2,0,8,0,1,0,12,63,0.0,1,1,1
53636,30,1,30,0,0,0,0,67,52032.0,4,12,24,0,0,2,1,8,23,10.222,0,0,0
53640,40,16,40,1,0,0,0,71,52028.0,7,23,36,0,0,2,2,9,18,8.874,0,0,0
53643,28,0,28,1,0,0,0,64,51984.0,7,9,12,1,3,0,0,14,21,0.0,1,1,1
53649,40,12,40,1,0,0,0,55,51985.0,2,-2,0,2,0,1,0,6,38,0.0,1,1,1
53652,42,15,42,0,0,0,0,72,52137.0,7,5,12,0,3,0,0,8,18,0.0,1,1,1
53665,14,0,14,0,0,0,0,56,52202.0,7,-4,0,2,2,0,0,13,29,0.0,1,1,1
53666,35,8,35,0,0,0,0,61,52170.0,3,-4,0,1,0,0,0,15,22,0.0,1,1,1
53679,56,28,56,1,0,0,0,45,52190.0,3,9,12,4,0,0,0,7,47,0.0,1,1,1
53689,52,25,52,1,0,0,0,39,52170.0,3,16,24,5,2,0,0,17,43,0.0,1,1,1
53692,55,21,55,0,0,0,0,63,52185.0,3,-3,0,1,0,0,0,9,27,0.0,1,1,1
53692,55,21,55,0,0,0,0,63,52185.0,3,-3,0,1,0,0,0,9,27,0.0,1,1,1
53695,46,12,46,1,0,0,0,52,52192.0,2,11,12,3,0,4,10,10,36,17.719,0,0,0
53697,50,21,50,1,0,0,1,63,52181.0,4,5,12,1,3,6,3,12,24,11.528,0,0,0
53704,33,6,33,1,0,0,0,48,52215.0,6,11,24,3,1,0,0,12,38,0.0,1,1,1
53706,40,12,40,1,0,0,0,55,52196.0,3,-2,0,2,0,5,0,10,34,0.0,1,1,1
53714,38,6,38,1,0,0,0,43,52232.0,3,14,24,4,1,3,1,16,39,8.059,0,0,0
53714,38,6,38,1,0,0,0,43,52232.0,3,14,24,4,1,3,1,16,39,8.059,0,0,0
53726,58,29,58,0,0,0,0,43,52181.0,6,5,12,4,0,0,0,16,39,0.0,1,1,1
53745,46,13,46,1,0,0,0,63,52228.0,6,29,36,1,5,1,1,5,31,8.302,0,0,0
53748,38,13,38,0,0,0,0,59,52246.0,3,-5,0,2,2,1,0,13,27,0.0,1,1,1
53770,29,2,29,1,0,0,0,44,52184.0,3,16,24,4,0,0,0,19,35,0.0,1,1,1
53782,38,7,38,1,0,0,0,53,52243.0,4,34,36,2,1,3,2,8,37,8.731,0,0,0
53796,60,34,60,1,0,0,0,60,52247.0,1,17,24,1,1,3,2,13,25,11.318,0,0,0
53797,48,17,48,0,0,0,0,67,52234.0,4,12,24,0,0,6,13,11,21,20.737,0,0,0
53797,48,17,48,0,0,0,0,67,52234.0,4,12,24,0,0,6,13,11,21,20.737,0,0,0
53798,36,10,36,1,0,0,0,55,52224.0,7,-1,0,2,2,0,0,8,35,0.0,1,1,1
53803,53,26,53,1,0,0,0,37,52245.0,1,5,12,5,3,2,23,16,45,29.776999999999997,0,0,0
53815,42,16,42,1,0,0,0,60,52245.0,7,8,12,1,0,0,0,15,23,0.0,1,1,1
53815,42,16,42,1,0,0,0,60,52245.0,7,8,12,1,0,0,0,15,23,0.0,1,1,1
53821,41,7,41,0,0,1,0,48,52282.0,3,40,48,3,2,1,15,9,41,21.961,0,0,0
53823,35,4,35,0,0,0,0,46,52292.0,5,27,36,3,0,3,18,8,44,24.836,0,0,0
53842,45,15,45,0,0,0,0,51,52280.0,5,29,36,3,3,0,0,8,40,0.0,1,1,1
53861,31,1,31,0,0,0,0,28,52327.0,2,35,48,7,1,1,1,17,54,9.846,0,0,1
53864,27,0,27,0,0,0,0,58,52301.0,7,-4,0,2,1,0,0,12,29,0.0,1,1,1
53864,27,0,27,0,0,0,0,58,52301.0,7,-4,0,2,1,0,0,12,29,0.0,1,1,1
53881,45,15,45,1,0,0,0,58,52316.0,6,21,24,2,0,0,15,8,33,22.791,0,0,0
53884,32,3,32,1,0,0,0,54,52326.0,7,6,12,2,0,0,0,15,30,0.0,1,1,1
53886,65,37,65,0,0,0,0,50,52311.0,1,-6,0,3,4,0,0,18,30,0.0,1,1,1
53890,38,5,38,0,0,0,0,56,52255.0,3,35,48,2,1,0,0,10,32,0.0,1,1,1
53894,37,12,37,0,0,0,0,58,52259.0,3,15,24,2,1,0,0,9,32,0.0,1,1,1
53894,37,12,37,0,0,0,0,58,52259.0,3,15,24,2,1,0,0,9,32,0.0,1,1,1
53905,63,33,63,1,0,0,0,55,52292.0,3,35,36,2,0,4,2,10,33,10.278,0,0,0
53921,36,7,36,1,0,0,0,62,52378.0,4,20,24,1,2,0,0,17,20,0.0,1,1,1
53926,43,12,43,1,0,0,0,48,52382.0,6,14,24,3,0,0,0,16,34,0.0,1,1,1
53944,49,19,49,0,0,0,0,64,52435.0,3,-6,0,1,0,0,0,12,23,0.0,1,1,1
53947,67,40,67,1,0,0,0,49,52378.0,5,15,24,3,1,4,2,10,39,9.246,0,0,0
53956,25,0,25,0,0,0,0,56,52393.0,3,27,36,2,1,4,1,8,34,11.925999999999998,0,0,0
53960,21,0,21,0,0,0,0,59,52372.0,7,12,24,1,1,5,3,8,31,10.786,0,0,0
53980,32,6,32,1,0,0,0,47,52402.0,7,41,48,4,0,1,3,10,42,10.165,0,0,0
53981,23,0,23,1,0,0,0,36,52375.0,2,22,24,5,0,1,1,20,42,7.65,0,0,1
53984,35,6,35,1,0,0,0,60,52365.0,4,35,36,1,2,0,0,10,29,0.0,1,1,1
53987,15,0,15,1,0,0,0,43,52418.0,2,11,24,4,1,0,0,14,41,0.0,1,1,1
53992,21,0,21,1,0,0,0,56,52361.0,4,12,24,2,0,4,2,13,30,11.048,0,0,0
53998,44,16,44,1,0,0,0,47,52358.0,5,12,24,3,1,4,2,14,37,8.791,0,0,0
54005,20,0,20,0,0,0,0,52,52409.0,4,32,36,3,7,0,0,10,37,0.0,1,1,1
54005,20,0,20,0,0,0,0,52,52409.0,4,32,36,3,7,0,0,10,37,0.0,1,1,1
54007,41,12,41,0,0,0,0,52,52415.0,7,16,24,2,0,3,2,7,39,9.823,0,0,0
54008,41,11,41,1,0,0,0,60,52442.0,4,21,24,1,1,0,0,10,29,0.0,1,1,1
54011,47,19,47,1,0,0,0,60,52437.0,5,-6,0,1,1,0,0,7,32,0.0,1,1,1
54013,35,4,35,0,0,0,0,52,52446.0,3,-3,0,3,1,1,0,15,31,0.0,1,1,1
54022,32,4,32,0,0,0,0,49,52411.0,3,37,48,3,1,1,1,14,35,9.684,0,0,0
54024,34,7,34,0,0,0,0,42,52360.0,6,22,24,5,1,2,1,12,45,8.012,0,0,0
54025,30,4,30,0,0,0,0,42,52360.0,6,29,36,5,0,5,1,12,45,10.726,0,0,0
54027,20,0,20,1,0,0,0,66,52377.0,5,19,24,0,0,4,3,8,25,11.07,0,0,0
54031,19,0,19,1,0,0,0,44,52439.0,7,26,36,4,1,3,1,10,45,7.512,0,0,0
54031,19,0,19,1,0,0,0,44,52439.0,7,26,36,4,1,3,1,10,45,7.512,0,0,0
54032,50,25,50,0,0,0,0,51,52449.0,3,35,36,3,1,1,15,14,34,21.784,0,0,0
54043,28,1,28,1,0,1,0,49,52396.0,6,19,24,3,1,3,1,9,41,7.486000000000001,0,0,0
54049,58,27,58,1,0,0,0,46,52467.0,5,-6,0,3,0,0,0,9,43,0.0,1,1,1
54059,48,23,48,1,0,0,0,53,52495.0,1,29,36,2,2,3,4,17,28,10.867,0,0,0
54068,30,0,30,0,0,0,0,53,52541.0,3,41,48,3,1,5,2,6,39,8.736,0,0,0
54069,37,10,37,0,0,0,0,53,52541.0,3,21,24,3,1,2,1,6,39,8.282,0,0,0
54081,32,0,32,1,0,0,0,56,52532.0,3,5,12,2,0,2,1,7,36,11.871,0,0,0
54081,32,0,32,1,0,0,0,56,52532.0,3,5,12,2,0,2,1,7,36,11.871,0,0,0
54091,43,17,43,0,0,0,0,53,52547.0,4,40,48,3,2,2,1,16,29,10.216,0,0,0
54091,43,17,43,0,0,0,0,53,52547.0,4,40,48,3,2,2,1,16,29,10.216,0,0,0
54095,39,7,39,0,0,0,0,59,52526.0,6,28,36,1,3,0,0,17,23,0.0,1,1,1
54107,63,34,63,0,0,0,0,50,52510.0,4,13,24,3,1,0,0,12,37,0.0,1,1,1
54112,45,21,45,0,0,0,0,56,52494.0,5,0,12,2,1,0,0,14,28,0.0,1,1,1
54116,30,1,30,0,0,0,0,38,52532.0,5,20,24,5,0,0,0,10,50,0.0,1,1,1
54121,32,2,32,0,0,1,0,50,52519.0,7,40,48,3,7,4,11,5,43,17.992,0,0,0
54122,31,3,31,1,0,0,0,56,52501.0,5,40,48,2,0,1,1,16,26,11.289,0,0,0
54125,38,9,38,0,0,0,0,59,52547.0,7,18,24,1,0,3,2,17,23,8.261000000000001,0,0,0
54130,53,24,53,0,0,0,0,45,52493.0,6,26,36,4,1,2,1,12,42,7.836,0,0,0
54151,33,2,33,1,0,0,0,39,52454.0,2,41,48,5,0,2,2,16,44,9.179,0,0,0
54155,79,48,79,0,0,0,0,55,52529.0,5,25,36,2,1,0,0,10,33,0.0,1,1,1
54158,37,8,37,0,0,0,0,68,52493.0,7,41,48,0,3,4,2,10,21,12.095,0,0,0
54161,45,17,45,1,0,0,0,63,52463.0,5,21,24,1,0,3,2,8,27,10.155,0,0,0
54173,33,4,33,0,0,0,0,45,52527.0,4,17,24,4,0,0,0,16,38,0.0,1,1,1
54182,25,0,25,1,0,0,0,53,52471.0,2,28,36,2,1,0,0,7,38,0.0,1,1,1
54186,33,2,33,1,0,0,0,38,52508.0,4,36,48,5,0,3,1,20,40,7.846,0,0,0
54234,44,13,44,1,0,0,0,57,52490.0,4,25,36,2,0,1,24,5,37,31.305,0,0,0
54255,25,0,25,0,0,0,0,49,52487.0,6,40,48,3,2,4,12,13,37,18.689,0,0,0
54257,39,13,39,1,0,0,0,49,52487.0,6,40,48,3,1,0,0,13,37,0.0,1,1,1
54257,39,13,39,1,0,0,0,49,52487.0,6,40,48,3,1,0,0,13,37,0.0,1,1,1
54260,38,7,38,0,0,0,0,72,52490.0,5,25,36,0,1,0,0,10,17,0.0,1,1,1
54268,29,0,29,1,0,0,0,50,52468.0,4,19,24,3,0,0,0,24,25,0.0,1,1,1
54269,50,22,50,0,0,0,0,45,52524.0,1,12,24,4,2,3,19,18,36,26.11,0,0,0
54287,15,0,15,1,0,1,0,61,52496.0,5,40,48,1,4,4,3,9,28,9.331,0,0,0
54290,43,13,43,1,0,0,0,50,52479.0,5,-6,0,3,1,0,0,9,40,0.0,1,1,1
54300,44,11,44,0,0,0,0,68,52498.0,6,7,12,0,7,4,2,8,22,12.861,0,0,0
54302,48,18,48,1,0,0,0,19,52463.0,6,40,48,8,0,3,2,14,65,8.705,0,0,0
54309,41,13,41,0,0,0,0,52,52511.0,7,41,48,3,0,0,0,11,36,0.0,1,1,1
54314,39,6,39,1,0,0,0,26,52512.0,2,23,36,7,4,2,1,18,54,10.179,0,0,0
54329,43,16,43,1,0,0,0,54,52528.0,7,-3,0,2,0,0,0,15,29,0.0,1,1,1
54330,49,21,49,0,0,0,1,54,52528.0,6,34,36,2,1,6,19,15,29,25.756,0,0,0
54333,53,23,53,1,0,0,0,65,52536.0,4,35,48,0,0,0,0,11,23,0.0,1,1,1
54337,38,10,38,0,0,0,0,56,52472.0,2,15,24,2,0,2,1,10,32,12.599,0,0,0
54338,45,16,45,0,0,0,0,56,52472.0,2,15,24,2,0,0,0,10,32,0.0,1,1,1
54360,45,13,45,1,0,0,0,61,52531.0,3,9,12,1,0,5,3,13,25,10.935,0,0,0
54361,17,0,17,0,0,0,0,56,52482.0,5,19,24,2,1,0,0,9,33,0.0,1,1,1
54373,37,6,37,1,0,0,0,61,52550.0,3,12,24,1,0,0,0,10,27,0.0,1,1,1
54378,53,25,53,0,0,0,0,63,52458.0,1,26,36,1,0,0,0,12,23,0.0,1,1,1
54379,40,9,40,1,0,0,0,51,52467.0,3,5,12,3,2,2,1,12,35,8.379,0,0,0
54382,38,9,38,1,0,0,0,58,52478.0,5,16,24,2,3,1,15,6,34,21.674,0,0,0
54384,50,19,50,1,0,0,0,59,52523.0,2,7,12,1,2,4,3,11,29,9.779,0,0,0
54386,44,13,44,1,0,0,0,42,52524.0,5,29,36,4,0,2,1,12,44,7.357,0,0,0
54410,23,0,23,0,0,0,0,58,52468.0,5,38,48,2,1,0,0,12,29,0.0,1,1,1
54418,47,17,47,0,0,0,0,33,52512.0,6,-3,0,6,0,0,0,20,46,0.0,1,1,1
54420,45,19,45,1,0,0,0,59,52507.0,2,-2,0,1,2,0,0,12,28,0.0,1,1,1
54422,32,2,32,0,0,0,0,62,52541.0,6,37,48,1,0,0,0,9,28,0.0,1,1,1
54422,32,2,32,0,0,0,0,62,52541.0,6,37,48,1,0,0,0,9,28,0.0,1,1,1
54427,38,6,38,0,0,0,0,51,52468.0,7,7,12,3,0,3,2,17,31,8.36,0,0,0
54445,49,22,49,0,0,0,0,60,52516.0,3,-2,0,1,1,0,0,12,26,0.0,1,1,1
54472,24,0,24,1,0,1,0,63,52535.0,5,8,12,1,3,2,1,10,25,8.362,0,0,0
54507,38,7,38,1,0,0,0,60,52597.0,3,11,24,1,0,0,0,16,23,0.0,1,1,1
54508,20,0,20,1,0,0,0,48,52615.0,5,20,24,3,1,3,2,6,44,8.289,0,0,0
54508,20,0,20,1,0,0,0,48,52615.0,5,20,24,3,1,3,2,6,44,8.289,0,0,0
54520,24,0,24,0,0,0,0,66,52562.0,7,18,24,0,2,4,15,10,23,22.125,0,0,0
54531,31,3,31,0,0,0,0,44,52567.0,3,21,24,4,1,3,3,16,38,9.39,0,0,0
54533,58,29,58,1,0,1,0,67,52582.0,1,28,36,0,0,2,1,12,20,10.096,0,0,0
54537,23,0,23,0,0,0,0,57,52644.0,5,22,24,2,0,4,2,13,29,10.739,0,0,0
54542,51,19,51,1,0,0,0,57,52566.0,3,8,12,2,2,2,1,14,28,7.566,0,0,0
54566,51,21,51,1,0,0,0,49,52629.0,1,14,24,3,0,3,2,5,44,10.515999999999998,0,0,0
54569,51,27,51,0,0,0,0,44,52555.0,3,-4,0,4,0,0,0,10,44,0.0,1,1,1
54571,36,7,36,1,0,0,0,44,52555.0,4,9,12,4,3,1,1,10,44,12.546,0,0,0
54577,55,24,55,1,0,0,0,65,52624.0,3,25,36,1,3,0,0,9,25,0.0,1,1,1
54584,35,7,35,0,0,0,0,52,52628.0,5,-2,0,3,2,0,0,10,37,0.0,1,1,1
